180306 华夏安博仓储REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/12/19	5.870	5.870	5.498	5.499	15627155	87992304.00
2025/12/22	5.430	5.500	5.391	5.404	6087409	33104692.00
2025/12/23	5.404	5.509	5.388	5.509	5547701	30149924.00
2025/12/24	5.460	5.724	5.460	5.712	6701960	37846212.00
2025/12/25	5.707	5.726	5.651	5.703	3782366	21586354.00
2025/12/26	5.703	5.703	5.601	5.611	1434271	8077196.00
2025/12/29	5.604	5.609	5.540	5.600	1302568	7268618.50
2025/12/30	5.600	5.600	5.546	5.600	775083	4311844.50
2025/12/31	5.599	5.780	5.563	5.780	3226380	18351410.00
2026/01/05	5.720	5.747	5.687	5.715	1354337	7730118.50
2026/01/06	5.691	5.800	5.629	5.800	1867799	10734350.00
2026/01/07	5.760	5.842	5.740	5.789	2632170	15206061.00
2026/01/08	5.750	5.864	5.750	5.859	1578984	9166186.00
2026/01/09	5.820	5.860	5.820	5.827	670001	3912644.25
2026/01/12	5.830	5.971	5.830	5.965	1175509	6952558.00
2026/01/13	5.965	6.049	5.898	5.945	929795	5552638.00
2026/01/14	5.945	6.040	5.906	5.975	662917	3946664.25
2026/01/15	5.935	6.008	5.923	5.925	414764	2463510.25
2026/01/16	5.905	5.960	5.905	5.920	654893	3874958.50
2026/01/19	5.890	5.990	5.862	5.975	1120137	6626568.50
2026/01/20	5.966	5.999	5.951	5.998	1032013	6177649.50
2026/01/21	6.000	6.000	5.966	5.992	1663632	9959959.00
2026/01/22	5.992	6.068	5.960	6.059	1561912	9412059.00
2026/01/23	6.023	6.111	6.023	6.095	1209722	7362623.00
2026/01/26	6.095	6.095	6.034	6.054	527857	3192588.50
2026/01/27	6.050	6.060	6.009	6.015	893120	5391651.00
2026/01/28	6.015	6.060	5.992	6.055	452555	2735868.25
2026/01/29	6.055	6.160	6.050	6.158	2709198	16613728.00
2026/01/30	6.150	6.150	6.087	6.118	1068168	6535283.00
2026/02/02	6.100	6.117	6.038	6.038	473764	2865423.00
2026/02/03	6.000	6.080	6.000	6.077	745565	4517645.00
2026/02/04	6.046	6.100	6.046	6.097	318676	1939524.88
2026/02/05	6.064	6.089	6.064	6.083	195666	1188914.25
2026/02/06	6.089	6.089	6.008	6.039	542658	3281632.50
2026/02/09	6.002	6.099	6.000	6.019	651573	3931681.25
2026/02/10	6.006	6.036	6.003	6.034	505241	3042391.00
2026/02/11	6.048	6.080	6.012	6.038	1622864	9791866.00
2026/02/12	6.045	6.068	5.996	6.043	435888	2631283.50
2026/02/13	6.016	6.059	6.016	6.046	231133	1397843.13
2026/02/24	6.020	6.055	6.010	6.050	407200	2452009.25
2026/02/25	6.012	6.050	6.012	6.047	233253	1409863.63
2026/02/26	6.015	6.025	5.968	5.999	3384892	20341658.00
2026/02/27	5.998	5.999	5.883	5.910	1694541	10016000.00
2026/03/02	5.873	5.873	5.792	5.833	2267830	13232314.00
2026/03/03	5.800	5.868	5.798	5.815	1959115	11396826.00
2026/03/04	5.812	5.812	5.763	5.775	1561039	9015566.00
2026/03/05	5.764	5.797	5.755	5.785	1519949	8774424.00
2026/03/06	5.785	5.786	5.700	5.735	794748	4550389.50
2026/03/09	5.704	5.732	5.631	5.718	481265	2740063.75
2026/03/10	5.718	5.793	5.718	5.785	1199733	6909628.00
2026/03/11	5.780	5.799	5.754	5.774	782725	4521176.00
2026/03/12	5.755	5.793	5.755	5.765	804500	4641251.00
2026/03/13	5.748	5.784	5.727	5.768	631356	3628661.75
2026/03/16	5.715	5.780	5.700	5.722	481383	2753357.50
2026/03/17	5.704	5.748	5.704	5.736	712656	4086732.25
2026/03/18	5.745	5.757	5.722	5.748	275104	1579489.63
2026/03/19	5.720	5.747	5.720	5.745	444313	2548370.50
2026/03/20	5.720	5.730	5.720	5.722	730166	4180217.25
2026/03/23	5.715	5.715	5.632	5.646	1105844	6262980.50
2026/03/24	5.705	5.754	5.639	5.700	703440	3979669.50
2026/04/03	5.625	5.650	5.620	5.634	1052065	5920573.00
#数据来源:通达信
