180401 鹏华深圳能源REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/26	7.665	7.665	6.500	7.165	65879152	468102848.00
2022/07/27	7.140	7.648	6.940	7.530	16955235	125981096.00
2022/07/28	7.532	7.630	7.360	7.370	9131377	67897464.00
2022/07/29	7.370	7.402	7.364	7.377	3346789	24705560.00
2022/08/01	7.379	7.467	7.379	7.454	2488752	18500932.00
2022/08/02	7.449	7.482	7.370	7.443	3702097	27499116.00
2022/08/03	7.451	7.557	7.451	7.551	2530053	19053510.00
2022/08/04	7.552	7.683	7.552	7.669	2984529	22844384.00
2022/08/05	7.684	7.900	7.626	7.782	3619083	28024448.00
2022/08/08	7.786	7.857	7.735	7.736	3478118	27141602.00
2022/08/09	7.729	7.729	7.599	7.611	3664028	27989490.00
2022/08/10	7.610	7.690	7.556	7.690	3717530	28368174.00
2022/08/11	7.706	7.763	7.700	7.730	2649189	20509794.00
2022/08/12	7.729	7.813	7.670	7.813	3283153	25529058.00
2022/08/15	7.813	7.950	7.799	7.950	3129295	24786258.00
2022/08/16	7.950	8.001	7.822	7.841	3487964	27611192.00
2022/08/17	7.838	7.935	7.798	7.916	2169004	17156726.00
2022/08/18	7.920	7.973	7.896	7.933	2942903	23344666.00
2022/08/19	7.934	8.117	7.933	8.117	2966872	23785848.00
2022/08/22	8.122	8.300	7.985	8.098	4373425	35785120.00
2022/08/23	8.041	8.230	8.041	8.228	4382874	35916668.00
2022/08/24	8.228	8.298	8.144	8.183	4136698	33869780.00
2022/08/25	8.170	8.250	8.163	8.240	3101078	25449114.00
2022/08/26	8.240	8.256	8.176	8.245	2720779	22377594.00
2022/08/29	8.238	8.238	8.140	8.155	2785182	22769868.00
2022/08/30	8.155	8.195	8.111	8.114	3760887	30622424.00
2022/08/31	8.113	8.144	8.001	8.134	4031480	32665182.00
2022/09/01	8.112	8.135	8.093	8.122	3464649	28109696.00
2022/09/02	8.123	8.148	8.122	8.136	2588607	21052824.00
2022/09/05	8.134	8.145	8.084	8.133	2361757	19194850.00
2022/09/06	8.132	8.148	8.117	8.143	2277419	18528534.00
2022/09/07	8.143	8.290	8.132	8.280	4958109	40855344.00
2022/09/08	8.281	8.350	8.251	8.350	3090029	25728820.00
2022/09/09	8.350	8.380	8.335	8.355	3332001	27832200.00
2022/09/13	8.354	8.354	8.320	8.321	1934579	16120168.00
2022/09/14	8.298	8.300	8.143	8.258	2834259	23347508.00
2022/09/15	8.252	8.289	8.228	8.230	2462402	20290878.00
2022/09/16	8.200	8.261	8.181	8.197	2582112	21176900.00
2022/09/19	8.168	8.189	8.122	8.160	3856910	31487702.00
2022/09/20	8.160	8.199	8.123	8.140	3221921	26263916.00
2022/09/21	8.138	8.210	8.069	8.190	3948989	32103598.00
2022/09/22	8.230	8.266	8.180	8.258	2311451	19028634.00
2022/09/23	8.259	8.260	8.188	8.206	3166945	26020444.00
2022/09/26	8.194	8.223	8.162	8.170	2443244	20019662.00
2022/09/27	8.170	8.170	8.140	8.156	2357387	19217972.00
2022/09/28	8.156	8.250	8.136	8.213	2661502	21886084.00
2022/09/29	8.213	8.265	8.160	8.172	2543463	20790318.00
2022/09/30	8.172	8.196	8.100	8.151	1644553	13401971.00
2022/10/10	8.151	8.156	8.067	8.080	2055365	16617264.00
2022/10/11	8.080	8.080	8.003	8.018	2513519	20157864.00
