180402 工银蒙能清洁能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/12/10	6.300	6.368	6.119	6.355	4702428	29249388.00
2024/12/11	6.350	6.520	6.241	6.495	2807231	18028004.00
2024/12/12	6.496	6.722	6.475	6.676	1739329	11574626.00
2024/12/13	6.670	6.750	6.636	6.739	2552825	17119886.00
2024/12/16	6.730	6.872	6.679	6.780	2402382	16178738.00
2024/12/17	6.791	6.866	6.686	6.720	1584118	10681007.00
2024/12/18	6.720	6.739	6.552	6.609	1479068	9794807.00
2024/12/19	6.598	6.606	6.405	6.560	848637	5542383.00
2024/12/20	6.522	6.665	6.522	6.605	853014	5638348.00
2024/12/23	6.601	6.665	6.601	6.644	1302297	8631512.00
2024/12/24	6.606	6.694	6.606	6.645	1220763	8120929.00
2024/12/25	6.621	6.650	6.621	6.640	1151884	7644647.00
2024/12/26	6.640	6.732	6.603	6.730	1077719	7206138.50
2024/12/27	6.730	6.980	6.690	6.809	834180	5675783.50
2024/12/30	6.769	6.878	6.769	6.806	1038110	7081746.00
2024/12/31	6.863	6.863	6.785	6.790	1144047	7781765.00
2025/01/02	6.750	6.845	6.750	6.793	861059	5856780.00
2025/01/03	6.793	6.937	6.793	6.934	1296280	8906086.00
2025/01/06	6.995	7.031	6.906	6.986	2024692	14165584.00
2025/01/07	6.946	6.995	6.818	6.830	1045606	7192476.00
2025/01/08	6.830	6.940	6.821	6.923	1003826	6880603.00
2025/01/09	6.923	6.996	6.919	6.955	1445977	10068080.00
2025/01/10	6.956	7.007	6.900	6.936	1147484	7968705.50
2025/01/13	6.937	6.989	6.840	6.866	417428	2887920.75
2025/01/14	6.832	6.968	6.800	6.803	215400	1467634.75
2025/01/15	6.800	6.831	6.603	6.772	1435306	9674959.00
2025/01/16	6.772	6.772	6.695	6.727	566485	3811770.25
2025/01/17	6.727	6.820	6.700	6.778	467643	3163165.25
2025/01/20	6.830	6.830	6.738	6.813	788800	5366570.00
2025/01/21	6.813	6.839	6.711	6.789	396228	2693156.50
2025/01/22	6.749	6.898	6.749	6.794	317190	2155685.75
2025/01/23	6.754	6.886	6.754	6.800	628629	4281662.50
2025/01/24	6.800	6.820	6.762	6.789	487451	3309473.00
2025/01/27	6.760	6.900	6.760	6.834	668780	4581812.50
2025/02/05	6.835	6.885	6.820	6.879	634893	4340523.00
2025/02/06	6.879	6.989	6.816	6.820	251672	1723400.00
2025/02/07	6.820	6.879	6.820	6.829	807815	5514808.50
2025/02/10	6.850	6.900	6.790	6.795	787953	5372969.00
2025/02/11	6.810	6.885	6.780	6.830	688178	4690608.00
2025/02/12	6.830	6.840	6.801	6.812	884306	6030018.50
2025/02/13	6.812	6.821	6.781	6.810	308582	2100044.75
2025/02/14	6.811	6.830	6.780	6.825	843843	5745011.00
2025/02/17	6.850	6.886	6.850	6.853	622045	4263197.50
2025/02/18	6.853	6.899	6.853	6.893	563855	3877880.25
2025/02/19	6.856	6.997	6.856	6.956	1061992	7349073.50
2025/02/20	6.956	7.095	6.920	6.978	997902	6972736.50
2025/02/21	6.998	7.020	6.988	7.001	1453067	10168603.00
2025/02/24	7.005	7.038	6.909	6.930	2208124	15388001.00
2025/02/25	6.930	6.951	6.900	6.948	1025756	7115610.50
2025/02/26	6.943	6.950	6.930	6.946	1114614	7735337.50
2025/02/27	6.999	6.999	6.921	6.935	830193	5760551.00
2025/02/28	6.936	6.953	6.873	6.900	1608790	11155529.00
2025/03/03	6.908	6.948	6.888	6.945	884297	6120781.50
2025/03/04	6.961	7.094	6.961	7.094	1120096	7849782.50
2025/03/05	7.093	7.238	7.055	7.229	1744310	12522861.00
2025/03/06	7.229	7.247	7.086	7.145	1147615	8229568.00
2025/03/07	7.105	7.396	7.105	7.360	1502310	10859975.00
2025/03/10	7.325	7.433	7.325	7.414	1460649	10813057.00
2025/03/11	7.413	8.154	7.390	7.414	741408	5520217.50
2025/03/12	7.385	7.490	7.385	7.402	742210	5509717.00
2025/03/13	7.362	8.100	7.300	7.344	896328	6606977.00
2025/03/14	7.345	7.385	7.305	7.327	966515	7073467.00
2025/03/17	7.348	7.392	7.329	7.386	1212358	8951085.00
2025/03/18	7.346	7.448	7.346	7.401	837214	6213815.00
2025/03/19	7.364	7.477	7.364	7.455	583414	4346269.00
2025/03/20	7.455	7.999	7.431	7.487	730364	5458921.00
2025/03/21	7.450	7.668	7.450	7.590	660932	4990173.00
2025/03/24	7.678	7.741	7.586	7.600	637539	4861150.00
2025/03/25	7.560	7.697	7.542	7.603	981512	7448803.50
2025/03/26	7.615	7.710	7.615	7.708	585865	4505794.50
2025/03/27	7.731	7.731	7.671	7.730	700806	5408762.50
2025/03/28	7.730	7.829	7.730	7.824	735520	5749020.50
2025/03/31	7.861	7.990	7.861	7.880	828497	6542075.00
2025/04/01	7.960	7.960	7.598	7.730	792112	6106119.50
2025/04/02	7.690	7.948	7.639	7.925	977010	7569157.00
2025/04/03	7.885	8.154	7.863	8.019	619683	4966792.50
2025/04/07	8.019	8.019	7.698	7.714	663106	5149067.00
2025/04/08	7.713	7.899	7.619	7.758	420875	3288809.00
2025/04/09	7.720	7.750	7.650	7.725	351765	2715999.00
