180501 红土创新深圳安居 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/31	3.229	3.229	3.229	3.229	16562894	53481584.00
2022/09/01	3.358	3.470	3.250	3.406	46851481	158623760.00
2022/09/02	3.410	3.426	3.358	3.407	9101380	30975574.00
2022/09/05	3.478	3.478	3.395	3.395	5020524	17138818.00
2022/09/06	3.400	3.412	3.371	3.404	6657104	22547020.00
2022/09/07	3.406	3.418	3.400	3.416	2705698	9234173.00
2022/09/08	3.475	3.475	3.416	3.428	3714840	12734798.00
2022/09/09	3.430	3.440	3.426	3.427	3609957	12379188.00
2022/09/13	3.426	3.427	3.401	3.423	2540160	8688071.00
2022/09/14	3.419	3.435	3.405	3.418	3488943	11932550.00
2022/09/15	3.419	3.424	3.412	3.413	1820618	6215886.50
2022/09/16	3.413	3.413	3.386	3.398	3797004	12895526.00
2022/09/19	3.399	3.407	3.390	3.393	2504932	8502111.00
2022/09/20	3.393	3.393	3.383	3.389	1276186	4323053.50
2022/09/21	3.389	3.392	3.384	3.390	852642	2889537.00
2022/09/22	3.390	3.398	3.377	3.394	1582070	5364610.00
2022/09/23	3.394	3.401	3.387	3.395	1377797	4679657.50
2022/09/26	3.395	3.403	3.392	3.392	913884	3106612.00
2022/09/27	3.394	3.401	3.386	3.388	1823716	6190038.00
2022/09/28	3.388	3.600	3.384	3.400	3249424	11079980.00
2022/09/29	3.400	3.400	3.381	3.385	969048	3285694.25
2022/09/30	3.387	3.395	3.379	3.381	764606	2586061.25
2022/10/10	3.381	3.381	3.320	3.326	2256236	7550601.50
2022/10/11	3.326	3.329	3.245	3.276	4305822	14084127.00
2022/10/12	3.262	3.280	3.262	3.277	741291	2427116.25
2022/10/13	3.278	3.300	3.271	3.273	1235058	4050915.75
2022/10/14	3.272	3.276	3.261	3.276	1362811	4456045.50
2022/10/17	3.277	3.278	3.270	3.272	995507	3257800.00
2022/10/18	3.271	3.276	3.268	3.272	1280452	4190672.00
2022/10/19	3.272	3.276	3.265	3.268	1887266	6173054.50
2022/10/20	3.266	3.266	3.244	3.264	5098607	16591552.00
2022/10/21	3.264	3.264	3.230	3.253	3117830	10106928.00
2022/10/24	3.253	3.253	3.217	3.218	1806461	5838900.50
2022/10/25	3.217	3.217	3.166	3.168	3443532	10945027.00
2022/10/26	3.167	3.195	3.165	3.192	1743937	5563714.50
2022/10/27	3.192	3.210	3.192	3.208	3167315	10148170.00
2022/10/28	3.208	3.211	3.183	3.208	3734652	11949307.00
2022/10/31	3.208	3.228	3.168	3.222	2787888	8970842.00
2022/11/01	3.222	3.237	3.222	3.233	539021	1742902.25
2022/11/02	3.234	3.250	3.234	3.241	1998686	6480251.50
2022/11/03	3.241	3.250	3.241	3.248	523554	1700210.50
2022/11/04	3.248	3.333	3.248	3.329	2874370	9424783.00
2022/11/07	3.319	3.319	3.289	3.290	2638831	8714439.00
2022/11/08	3.289	3.298	3.267	3.269	536844	1759429.75
2022/11/09	3.269	3.293	3.249	3.251	1090176	3564857.75
2022/11/10	3.256	3.278	3.222	3.229	1267638	4100825.00
2022/11/11	3.225	3.277	3.221	3.257	1417538	4603461.00
2022/11/14	3.257	3.257	3.218	3.238	1106126	3582256.25
2022/11/15	3.235	3.243	3.232	3.235	2453467	7943129.00
2022/11/16	3.236	3.240	2.912	3.200	2333506	7485613.50
2022/11/17	3.198	3.199	3.110	3.123	1646354	5197408.00
2022/11/18	3.120	3.129	3.075	3.100	1260268	3896409.75
2022/11/21	3.092	3.106	3.055	3.103	2006113	6203063.50
2022/11/22	3.101	3.101	3.055	3.084	403639	1245385.00
2022/11/23	3.084	3.086	3.070	3.074	407976	1255506.25
2022/11/24	3.073	3.075	3.041	3.050	2607280	7991748.00
2022/11/25	3.050	3.057	3.043	3.045	638447	1945752.88
2022/11/28	3.045	3.045	3.000	3.017	483997	1460210.88
2022/11/29	3.016	3.032	3.016	3.031	656684	1986097.38
2022/11/30	3.031	3.031	3.025	3.028	351587	1064710.63
2022/12/01	3.027	3.031	3.015	3.031	1779866	5384625.00
2022/12/02	3.031	3.060	3.030	3.060	923785	2818604.25
2022/12/05	3.060	3.104	3.060	3.100	1342683	4151387.25
2022/12/06	3.100	3.113	3.099	3.101	1927954	5980403.00
2022/12/07	3.102	3.102	3.088	3.090	867199	2679908.00
2022/12/08	3.090	3.090	3.043	3.085	1055336	3244640.50
2022/12/09	3.085	3.085	3.071	3.073	887835	2729477.50
2022/12/12	3.072	3.073	3.056	3.056	1259465	3856342.25
2022/12/13	3.056	3.056	3.031	3.033	400979	1217369.25
2022/12/14	3.033	3.033	3.018	3.020	330809	1000144.31
2022/12/15	3.020	3.030	3.020	3.022	430187	1301079.00
2022/12/16	3.023	3.023	3.007	3.008	1271742	3832407.25
2022/12/19	3.008	3.008	2.991	2.996	412018	1234193.75
2022/12/20	2.996	2.996	2.913	2.925	1366156	4026657.00
2022/12/21	2.919	2.970	2.899	2.899	1014201	2955250.50
2022/12/22	2.900	2.917	2.900	2.900	371187	1079154.63
2022/12/23	2.900	2.919	2.900	2.910	528441	1539915.38
2022/12/26	2.909	2.999	2.790	2.894	347757	1008163.88
2022/12/27	2.895	2.895	2.855	2.857	1857205	5325661.50
2022/12/28	2.840	2.847	2.800	2.807	1784159	5025792.50
2022/12/29	2.807	2.812	2.744	2.756	3054375	8486609.00
2022/12/30	2.756	2.820	2.600	2.719	2769559	7492838.00
2023/01/03	2.718	2.718	2.682	2.687	2066432	5549950.50
2023/01/04	2.687	2.687	2.679	2.682	1028761	2759437.25
2023/01/05	2.680	2.691	2.680	2.690	810820	2180345.25
2023/01/06	2.690	2.718	2.690	2.718	2311877	6250673.00
2023/01/09	2.710	2.747	2.710	2.747	1219407	3329815.75
2023/01/10	2.747	2.756	2.747	2.748	2306489	6342967.00
2023/01/11	2.748	2.762	2.740	2.747	2914312	8034480.50
2023/01/12	2.747	2.747	2.735	2.743	1175803	3224096.25
2023/01/13	2.743	2.750	2.738	2.739	2469168	6767773.50
2023/01/16	2.740	2.750	2.725	2.728	1469035	4010544.25
2023/01/17	2.728	2.735	2.705	2.705	1130185	3063968.50
2023/01/18	2.710	2.710	2.700	2.702	1269998	3432773.75
2023/01/19	2.702	2.702	2.699	2.702	1301329	3513747.50
2023/01/20	2.703	2.732	2.702	2.732	1619324	4387270.50
2023/01/30	2.736	2.796	2.736	2.769	3408781	9474885.00
2023/01/31	2.769	2.860	2.769	2.857	2856011	8030140.50
2023/02/01	2.858	2.950	2.858	2.937	4057471	11804900.00
2023/02/02	2.938	2.952	2.930	2.932	4727163	13913715.00
2023/02/03	2.931	2.932	2.903	2.907	2540582	7385275.00
2023/02/06	2.907	2.915	2.904	2.910	2258623	6572735.50
2023/02/07	2.910	2.919	2.880	2.884	2086927	6051414.00
2023/02/08	2.885	2.886	2.870	2.875	1738091	4997842.00
2023/02/09	2.873	2.873	2.861	2.868	1277768	3663633.00
2023/02/10	2.868	2.871	2.865	2.871	2470153	7082648.50
2023/02/13	2.870	2.893	2.866	2.893	2529822	7283412.50
2023/02/14	2.894	2.959	2.894	2.956	3118855	9088772.00
2023/02/15	2.970	2.995	2.910	2.970	5509699	16445705.00
2023/02/16	2.969	2.969	2.920	2.926	2573036	7549787.50
2023/02/17	2.923	2.948	2.892	2.933	4008438	11771672.00
2023/02/20	2.931	2.932	2.925	2.931	1289679	3775964.25
2023/02/21	2.932	2.939	2.930	2.939	2518444	7389383.50
2023/02/22	2.939	2.943	2.923	2.938	1335006	3921392.75
2023/02/23	2.935	2.938	2.929	2.929	1555899	4560136.50
2023/02/24	2.932	2.932	2.884	2.888	1682979	4875238.50
2023/02/27	2.893	2.910	2.890	2.890	1046258	3033375.75
2023/02/28	2.888	2.890	2.882	2.883	463581	1337267.88
2023/03/01	2.883	2.890	2.882	2.888	670442	1935785.50
2023/03/02	2.888	2.890	2.886	2.890	1491300	4305228.50
2023/03/03	2.890	2.898	2.887	2.889	1468890	4248342.50
2023/03/06	2.889	2.889	2.877	2.878	772034	2223926.00
2023/03/07	2.878	2.878	2.872	2.872	2292738	6588692.50
2023/03/08	2.872	2.872	2.844	2.846	860901	2464535.75
2023/03/09	2.846	2.860	2.845	2.857	986300	2814133.00
2023/03/10	2.857	2.864	2.840	2.864	1231496	3514124.50
2023/03/13	2.852	2.898	2.850	2.897	4132022	11886334.00
2023/03/14	2.900	2.918	2.898	2.901	3705754	10784372.00
2023/03/15	2.901	2.901	2.870	2.876	3063455	8808993.00
2023/03/16	2.876	2.885	2.845	2.870	1453383	4181494.75
2023/03/17	2.870	2.870	2.854	2.856	2316067	6619559.00
2023/03/20	2.856	2.865	2.837	2.839	4452238	12668609.00
2023/03/21	2.841	2.841	2.828	2.828	2386197	6753160.00
2023/03/22	2.828	2.828	2.814	2.818	2129094	5998929.50
2023/03/23	2.825	2.825	2.817	2.819	1923860	5423324.50
2023/03/24	2.819	2.820	2.813	2.818	1824083	5139589.50
2023/03/27	2.816	2.822	2.812	2.814	3392433	9550334.00
2023/03/28	2.814	2.832	2.783	2.784	2795235	7874484.00
2023/03/29	2.784	2.794	2.775	2.775	3667935	10199435.00
2023/03/30	2.775	2.783	2.756	2.765	2196549	6075026.00
2023/03/31	2.763	2.795	2.753	2.785	2856964	7954927.00
2023/04/03	2.785	2.791	2.755	2.778	2652646	7380291.00
2023/04/04	2.778	2.795	2.778	2.784	2063623	5760687.50
2023/04/06	2.784	2.784	2.750	2.755	2120863	5850753.50
2023/04/07	2.755	2.780	2.750	2.779	1678454	4645748.00
2023/04/10	2.785	2.785	2.772	2.773	908237	2520929.75
2023/04/11	2.773	2.773	2.761	2.765	665938	1841484.88
2023/04/12	2.766	2.780	2.761	2.761	1101974	3046119.25
2023/04/13	2.761	2.761	2.749	2.752	1737759	4786350.00
2023/04/14	2.751	2.757	2.748	2.751	1811187	4981995.00
2023/04/17	2.752	2.763	2.751	2.763	2410919	6646759.50
2023/04/18	2.763	2.787	2.763	2.787	1933052	5364571.50
2023/04/19	2.787	2.800	2.777	2.786	1409997	3928229.50
2023/04/20	2.785	2.792	2.780	2.785	822560	2291043.00
2023/04/21	2.785	2.793	2.780	2.791	1710843	4771598.00
2023/04/24	2.791	2.814	2.790	2.813	1677800	4699359.00
2023/04/25	2.820	2.820	2.810	2.814	1095851	3084590.50
2023/04/26	2.785	2.785	2.664	2.711	1529027	4193295.00
2023/04/27	2.705	2.705	2.672	2.677	1430508	3838288.50
2023/04/28	2.670	2.684	2.659	2.664	2085714	5552874.50
2023/05/04	2.663	2.663	2.610	2.612	1458719	3830848.25
2023/05/05	2.611	2.611	2.547	2.554	2512345	6455683.00
2023/05/08	2.554	2.554	2.507	2.532	2066022	5205976.50
2023/05/09	2.532	2.579	2.520	2.575	2782410	7094860.00
2023/05/10	2.577	2.660	2.576	2.660	2673396	7044079.50
2023/05/11	2.662	2.686	2.655	2.681	3266302	8747522.00
2023/05/12	2.681	2.681	2.645	2.656	2238456	5940735.00
2023/05/15	2.656	2.656	2.625	2.630	1269119	3337593.50
2023/05/16	2.630	2.644	2.580	2.629	1675870	4400433.00
2023/05/17	2.629	2.660	2.620	2.656	2418549	6393561.50
2023/05/18	2.648	2.648	2.621	2.643	1149066	3036171.50
2023/05/19	2.643	2.643	2.593	2.623	2085511	5440544.50
2023/05/22	2.623	2.623	2.590	2.617	1486093	3867860.00
2023/05/23	2.614	2.614	2.580	2.607	1638652	4269744.50
2023/05/24	2.607	2.607	2.580	2.592	1010705	2621269.50
2023/05/25	2.591	2.591	2.568	2.572	1988222	5115056.00
2023/05/26	2.571	2.571	2.559	2.560	1221314	3127389.00
2023/05/29	2.560	2.590	2.560	2.571	1166678	3001977.50
2023/05/30	2.572	2.580	2.558	2.559	1350037	3458777.75
2023/05/31	2.560	2.560	2.531	2.541	2940389	7475617.00
2023/06/01	2.541	2.541	2.502	2.521	1736697	4368246.50
2023/06/02	2.520	2.520	2.499	2.519	2721423	6825579.00
2023/06/05	2.520	2.528	2.455	2.457	2345537	5863828.00
2023/06/06	2.456	2.456	2.384	2.419	4115063	9885843.00
2023/06/07	2.419	2.426	2.391	2.425	2993531	7243158.00
2023/06/08	2.425	2.504	2.424	2.499	3252097	8005322.50
2023/06/09	2.502	2.526	2.499	2.518	1940327	4876814.50
2023/06/12	2.510	2.514	2.496	2.510	2023614	5066833.00
2023/06/13	2.509	2.509	2.501	2.506	1385549	3470595.25
2023/06/14	2.506	2.525	2.500	2.516	1963005	4942594.00
2023/06/15	2.519	2.524	2.512	2.524	1287658	3241876.00
2023/06/16	2.524	2.539	2.524	2.537	2430460	6148711.50
2023/06/19	2.538	2.547	2.497	2.540	1409487	3575775.75
2023/06/20	2.540	2.549	2.530	2.548	2075653	5277944.00
2023/06/21	2.555	2.555	2.542	2.544	1995421	5078823.50
2023/06/26	2.550	2.550	2.484	2.517	2099437	5277721.50
2023/06/27	2.510	2.555	2.490	2.555	2106045	5312741.00
2023/06/28	2.555	2.555	2.542	2.542	1283237	3269574.25
2023/06/29	2.542	2.542	2.528	2.535	1329790	3366387.75
2023/06/30	2.535	2.548	2.495	2.543	1622825	4128218.25
2023/07/03	2.535	2.536	2.526	2.532	2474770	6265001.50
2023/07/04	2.525	2.543	2.524	2.536	1190641	3017149.00
2023/07/05	2.536	2.536	2.512	2.520	1844946	4669297.00
2023/07/06	2.520	2.550	2.519	2.542	1374396	3487091.00
2023/07/07	2.542	2.585	2.541	2.585	2709558	6970816.00
2023/07/10	2.585	2.604	2.579	2.580	3301770	8548535.00
2023/07/11	2.580	2.587	2.542	2.577	1902937	4892334.50
2023/07/12	2.577	2.610	2.539	2.565	1966575	5049006.50
2023/07/13	2.565	2.600	2.525	2.573	2690122	6895276.00
2023/07/14	2.573	2.594	2.553	2.577	3631601	9368180.00
2023/07/17	2.600	2.624	2.554	2.620	2142390	5582324.50
2023/07/18	2.621	2.697	2.590	2.696	4338400	11490751.00
