180502 招商基金蛇口租赁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/10/23	3.000	3.085	2.881	2.922	16617761	48645088.00
2024/10/24	2.925	2.925	2.900	2.905	6581276	19129882.00
2024/10/25	2.903	2.913	2.882	2.907	2984904	8676135.00
2024/10/28	2.898	2.901	2.855	2.884	11475585	33063372.00
2024/10/29	2.884	2.895	2.867	2.882	5141278	14804644.00
2024/10/30	2.880	2.883	2.870	2.882	4687666	13480040.00
2024/10/31	2.878	2.901	2.877	2.900	2577597	7442453.50
2024/11/01	2.890	2.900	2.890	2.894	1640306	4746648.00
2024/11/04	2.899	2.899	2.880	2.897	2486186	7177328.00
2024/11/05	2.890	2.898	2.874	2.898	3128702	9024907.00
2024/11/06	2.899	2.900	2.880	2.887	2000283	5784481.50
2024/11/07	2.884	2.887	2.875	2.887	2884218	8311673.50
2024/11/08	2.888	2.934	2.875	2.925	4843519	14077655.00
2024/11/11	2.924	2.985	2.924	2.985	3724710	11012282.00
2024/11/12	2.987	3.029	2.987	3.026	2230747	6707164.50
2024/11/13	3.027	3.038	3.002	3.020	4607910	13926192.00
2024/11/14	3.020	3.030	3.007	3.015	1407047	4240535.50
2024/11/15	3.019	3.025	2.976	3.020	2610478	7855897.50
2024/11/18	3.020	3.032	3.002	3.030	1882464	5684626.00
2024/11/19	3.031	3.041	3.017	3.032	946424	2865188.25
2024/11/20	3.018	3.032	3.018	3.022	164269	496831.66
2024/11/21	3.018	3.032	3.015	3.030	112020	338481.25
2024/11/22	3.030	3.062	3.010	3.059	1090728	3320763.50
2024/11/25	3.059	3.062	3.030	3.044	706544	2151639.50
2024/11/26	3.032	3.066	3.032	3.062	385284	1175814.13
2024/11/27	3.062	3.075	3.050	3.060	71300	218098.23
2024/11/28	3.060	3.080	3.052	3.063	203750	624836.00
2024/11/29	3.060	3.095	3.055	3.080	851686	2627331.75
2024/12/02	3.085	3.158	3.076	3.090	601619	1858634.38
2024/12/03	3.117	3.117	3.064	3.085	735288	2268914.75
2024/12/04	3.080	3.093	3.058	3.089	2521651	7782376.50
2024/12/05	3.089	3.090	3.069	3.090	154306	475934.47
2024/12/06	3.075	3.103	3.075	3.087	1121919	3466733.00
2024/12/09	3.090	3.119	3.076	3.090	1569215	4853356.50
2024/12/10	3.083	3.186	3.083	3.186	4763255	14972162.00
2024/12/11	3.170	3.234	3.165	3.234	2455714	7875066.50
2024/12/12	3.224	3.270	3.213	3.225	2142113	6942883.50
2024/12/13	3.226	3.244	3.225	3.240	1304420	4217764.00
2024/12/16	3.240	3.319	3.240	3.315	3822818	12616641.00
2024/12/17	3.315	3.349	3.259	3.260	6483894	21342144.00
2024/12/18	3.275	3.275	3.200	3.201	2889131	9292075.00
2024/12/19	3.195	3.243	3.162	3.194	1273531	4058411.25
2024/12/20	3.179	3.301	3.179	3.240	1625050	5256835.00
2024/12/23	3.227	3.330	3.227	3.250	1046125	3398662.75
2024/12/24	3.245	3.258	3.186	3.198	4159282	13356367.00
2024/12/25	3.165	3.197	3.147	3.176	4167941	13193089.00
2024/12/26	3.163	3.193	3.158	3.179	1074844	3411804.00
2024/12/27	3.164	3.203	3.164	3.198	1673837	5354455.00
2024/12/30	3.179	3.205	3.177	3.195	2074327	6632357.50
2024/12/31	3.195	3.209	3.179	3.195	829564	2646589.00
2025/01/02	3.209	3.268	3.195	3.246	3983075	12833050.00
2025/01/03	3.246	3.358	3.246	3.341	4464808	14867154.00
2025/01/06	3.340	3.370	3.300	3.331	1532557	5120151.00
2025/01/07	3.331	3.340	3.230	3.260	2525537	8283547.50
2025/01/08	3.260	3.330	3.260	3.298	1219500	4016091.25
2025/01/09	3.299	3.339	3.299	3.320	3139519	10443335.00
2025/01/10	3.320	3.335	3.270	3.330	3664237	12167786.00
2025/01/13	3.330	3.342	3.298	3.319	3336353	11120736.00
2025/01/14	3.319	3.338	3.288	3.312	514421	1702283.13
2025/01/15	3.312	3.372	3.300	3.368	2978094	9922829.00
2025/01/16	3.370	3.468	3.338	3.435	1355271	4626894.00
