180601 华夏华润商业REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/03/14	6.937	6.940	6.801	6.905	1837668	12714823.00
2024/03/15	6.897	6.899	6.840	6.888	302995	2083177.75
2024/03/18	6.883	6.931	6.821	6.878	306214	2107231.50
2024/03/19	6.878	6.880	6.805	6.849	530480	3633326.50
2024/03/20	6.825	6.848	6.825	6.830	253926	1735121.25
2024/03/21	6.826	6.878	6.825	6.835	358779	2451706.25
2024/03/22	6.825	6.850	6.825	6.827	256844	1754108.25
2024/03/25	6.827	6.827	6.811	6.811	274800	1872377.63
2024/03/26	6.797	6.811	6.765	6.774	174114	1179060.50
2024/03/27	6.800	6.800	6.785	6.789	540900	3673653.50
2024/03/28	6.761	6.761	6.731	6.737	333700	2248420.00
2024/03/29	6.737	6.738	6.717	6.724	262691	1766295.75
2024/04/01	6.723	6.800	6.711	6.748	356634	2413042.25
2024/04/02	6.738	6.767	6.735	6.757	745503	5029142.50
2024/04/03	6.757	6.785	6.757	6.778	169276	1146440.25
2024/04/08	6.772	6.850	6.772	6.797	220638	1501108.13
2024/04/09	6.800	6.860	6.800	6.841	920038	6301102.50
2024/04/10	6.854	6.935	6.853	6.910	1304428	9004809.00
2024/04/11	6.881	7.031	6.881	6.940	880160	6122200.50
2024/04/12	6.911	6.954	6.902	6.904	310700	2152641.50
2024/04/15	6.944	6.944	6.885	6.898	210600	1457921.88
2024/04/16	6.881	6.936	6.822	6.899	821676	5670235.00
2024/04/17	6.899	6.905	6.899	6.902	1059900	7315660.50
2024/04/18	6.902	6.910	6.901	6.902	905552	6250940.50
2024/04/19	6.902	6.906	6.882	6.902	1011349	6980739.00
2024/04/22	6.882	6.927	6.882	6.920	768900	5308630.50
2024/04/23	6.920	6.920	6.901	6.905	1241400	8570565.00
2024/04/24	6.905	6.935	6.905	6.908	301700	2085208.00
2024/04/25	6.885	6.926	6.885	6.905	1325759	9156255.00
2024/04/26	6.901	6.938	6.901	6.918	565100	3907653.75
2024/04/29	6.915	6.930	6.888	6.906	1563017	10793166.00
2024/04/30	6.905	6.915	6.901	6.902	648100	4474951.50
2024/05/06	6.935	6.935	6.871	6.890	49915	344076.41
2024/05/07	6.900	6.917	6.900	6.902	531577	3669275.75
2024/05/08	6.891	6.917	6.891	6.907	1962830	13549868.00
2024/05/09	6.951	6.951	6.900	6.903	251615	1739185.63
2024/05/10	6.918	6.918	6.903	6.915	138938	959369.44
2024/05/13	6.915	6.935	6.908	6.914	436100	3015380.00
2024/05/14	6.914	6.979	6.914	6.977	507973	3525013.25
2024/05/15	6.977	7.000	6.920	6.990	554806	3864956.25
2024/05/16	6.939	6.970	6.905	6.943	411977	2862359.00
2024/05/17	6.963	7.200	6.925	6.949	373200	2594030.50
2024/05/20	6.938	6.938	6.902	6.909	618965	4276689.00
2024/05/21	6.905	6.910	6.869	6.903	813200	5614420.50
2024/05/22	6.900	6.932	6.900	6.916	319200	2205422.25
2024/05/23	6.916	6.916	6.900	6.902	1669314	11524049.00
2024/05/24	6.906	6.915	6.895	6.915	600038	4143038.50
2024/05/27	6.919	6.920	6.900	6.912	340800	2354558.50
2024/05/28	6.912	6.919	6.900	6.907	232738	1608512.00
2024/05/29	6.907	6.917	6.907	6.910	226000	1562386.75
2024/05/30	6.918	6.918	6.904	6.906	134900	931887.31
2024/05/31	6.906	6.955	6.906	6.919	388552	2690786.00
2024/06/03	6.902	6.921	6.902	6.909	875700	6054729.00
2024/06/04	6.902	6.908	6.869	6.907	684938	4725257.00
2024/06/05	6.902	6.910	6.902	6.903	547200	3777439.75
2024/06/06	6.902	6.905	6.902	6.902	1128090	7787200.00
2024/06/07	6.902	6.910	6.902	6.905	420000	2899807.25
2024/06/11	6.890	6.913	6.890	6.908	787538	5439582.50
2024/06/12	6.904	6.908	6.903	6.904	1415179	9770466.00
2024/06/13	6.900	6.919	6.900	6.904	613700	4237330.00
2024/06/14	6.915	6.915	6.902	6.910	756751	5229635.00
2024/06/17	6.899	6.908	6.899	6.903	749138	5172138.50
2024/06/18	6.902	6.906	6.900	6.902	662600	4574167.50
2024/06/19	6.909	6.909	6.901	6.902	7000	48318.80
2024/06/20	6.901	6.905	6.901	6.903	918641	6342186.50
2024/06/21	6.902	6.905	6.901	6.903	671300	4634348.50
2024/06/24	6.873	6.904	6.873	6.900	349076	2408532.50
2024/06/25	6.900	6.909	6.898	6.902	356638	2460931.00
2024/06/26	6.902	6.907	6.899	6.900	1473338	10168560.00
2024/06/27	6.902	6.905	6.896	6.902	1463500	10098592.00
2024/06/28	6.855	6.929	6.855	6.908	698738	4826126.00
2024/07/01	6.888	6.908	6.888	6.902	1143833	7896672.00
2024/07/02	6.903	6.906	6.901	6.902	1302248	8990775.00
2024/07/03	6.903	6.903	6.866	6.898	1228500	8472698.00
2024/07/04	6.897	6.905	6.888	6.897	1354481	9344351.00
2024/07/05	6.900	6.905	6.900	6.902	1018800	7031580.00
2024/07/08	6.903	6.906	6.901	6.904	1354600	9350816.00
2024/07/09	6.900	6.904	6.900	6.904	1462000	10091340.00
2024/07/10	6.901	6.905	6.899	6.904	1286677	8880789.00
2024/07/11	6.904	6.904	6.900	6.900	1264800	8728891.00
2024/07/12	6.900	6.903	6.899	6.899	1064100	7343460.50
2024/07/15	6.900	6.903	6.899	6.900	1538200	10614636.00
2024/07/16	6.902	6.904	6.901	6.903	1193300	8236788.00
2024/07/17	6.903	6.903	6.900	6.901	1324091	9137337.00
2024/07/18	6.902	6.919	6.900	6.906	1116938	7716323.00
