180602 中金印力消费REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/04/30	3.261	3.264	3.162	3.260	10179953	32846158.00
2024/05/06	3.225	3.225	3.180	3.199	2986266	9558066.00
2024/05/07	3.190	3.195	3.170	3.187	3404945	10848524.00
2024/05/08	3.185	3.185	3.170	3.175	2677930	8512239.00
2024/05/09	3.172	3.195	3.170	3.185	2766585	8801561.00
2024/05/10	3.184	3.225	3.175	3.220	2505031	8052589.00
2024/05/13	3.223	3.262	3.223	3.259	12760668	41589536.00
2024/05/14	3.260	3.260	3.246	3.258	5185727	16891774.00
2024/05/15	3.260	3.260	3.230	3.256	1255982	4088921.00
2024/05/16	3.241	3.258	3.232	3.240	1295802	4212132.00
2024/05/17	3.240	3.249	3.201	3.236	2616756	8466983.00
2024/05/20	3.201	3.238	3.201	3.216	1288973	4149909.25
2024/05/21	3.216	3.230	3.201	3.230	1250796	4020685.75
2024/05/22	3.229	3.236	3.210	3.220	726171	2338114.25
2024/05/23	3.202	3.220	3.185	3.190	1836916	5864891.50
2024/05/24	3.180	3.222	3.166	3.208	1433898	4603067.00
2024/05/27	3.207	3.222	3.206	3.222	1548107	4975982.50
2024/05/28	3.220	3.236	3.184	3.236	2477825	7995002.50
2024/05/29	3.236	3.236	3.205	3.221	3475987	11204363.00
2024/05/30	3.221	3.222	3.202	3.203	1898681	6096841.00
2024/05/31	3.242	3.242	3.203	3.223	949296	3057041.25
2024/06/03	3.212	3.229	3.204	3.220	597438	1921830.13
2024/06/04	3.220	3.225	3.205	3.224	1129846	3640816.00
2024/06/05	3.209	3.225	3.209	3.213	2045864	6592381.50
2024/06/06	3.213	3.220	3.202	3.216	1263431	4060182.25
2024/06/07	3.204	3.223	3.204	3.218	1259099	4050004.75
2024/06/11	3.205	3.218	3.205	3.213	2629112	8452293.00
2024/06/12	3.206	3.223	3.206	3.209	1192080	3825244.00
2024/06/13	3.206	3.220	3.203	3.209	1309700	4205611.50
2024/06/14	3.200	3.211	3.200	3.206	808500	2592749.25
2024/06/17	3.205	3.216	3.200	3.203	2766300	8870062.00
2024/06/18	3.201	3.210	3.197	3.205	1626382	5206945.50
2024/06/19	3.197	3.207	3.194	3.201	1445830	4628168.50
2024/06/20	3.201	3.202	3.191	3.199	1215346	3888245.50
2024/06/21	3.190	3.207	3.190	3.206	2037042	6523308.50
2024/06/24	3.206	3.211	3.199	3.206	715664	2294441.50
2024/06/25	3.201	3.209	3.193	3.202	1786698	5725626.50
2024/06/26	3.191	3.203	3.191	3.201	1583081	5064558.00
2024/06/27	3.194	3.209	3.194	3.207	2325400	7449534.00
2024/06/28	3.204	3.210	3.175	3.206	1743300	5573457.50
2024/07/01	3.194	3.206	3.186	3.193	2049308	6546516.00
2024/07/02	3.171	3.204	3.171	3.196	2127800	6806613.00
2024/07/03	3.196	3.200	3.178	3.195	1409950	4506165.50
2024/07/04	3.182	3.195	3.182	3.192	1187782	3785668.25
2024/07/05	3.173	3.201	3.173	3.189	295082	941321.44
2024/07/08	3.174	3.191	3.170	3.174	1738762	5517099.50
2024/07/09	3.170	3.183	3.150	3.167	1151700	3644659.50
2024/07/10	3.158	3.172	3.154	3.166	132653	419806.53
2024/07/11	3.194	3.268	3.150	3.159	2358688	7451889.50
2024/07/12	3.150	3.180	3.145	3.146	1181663	3723296.25
2024/07/15	3.140	3.150	3.136	3.149	380197	1195909.25
2024/07/16	3.185	3.185	3.145	3.149	427700	1349188.25
2024/07/17	3.149	3.149	3.140	3.147	491988	1546537.00
2024/07/18	3.141	3.148	3.135	3.146	730764	2296212.25
2024/07/19	3.140	3.151	3.140	3.149	1455451	4573416.00
2024/07/22	3.144	3.149	3.135	3.148	633800	1992492.00
2024/07/23	3.145	3.154	3.134	3.144	943882	2967922.50
2024/07/24	3.141	3.149	3.136	3.149	1458119	4579708.00
2024/07/25	3.149	3.149	3.140	3.140	829700	2607135.25
2024/07/26	3.140	3.162	3.140	3.156	2153063	6793565.50
2024/07/29	3.156	3.168	3.142	3.166	1780400	5630236.50
2024/07/30	3.190	3.199	3.169	3.179	2142564	6825356.00
2024/07/31	3.195	3.205	3.157	3.175	1223900	3884528.75
2024/08/01	3.187	3.198	3.156	3.160	1618000	5149903.00
2024/08/02	3.187	3.187	3.150	3.155	1051191	3319755.75
2024/08/05	3.175	3.175	3.151	3.160	1800330	5686812.50
2024/08/06	3.161	3.179	3.155	3.178	2370817	7505842.00
2024/08/07	3.178	3.299	3.170	3.286	7825537	25536208.00
2024/08/08	3.279	3.351	3.246	3.280	4883477	16171320.00
2024/08/09	3.201	3.300	3.200	3.274	3491861	11433016.00
2024/08/12	3.240	3.279	3.240	3.268	1847200	6036715.00
2024/08/13	3.203	3.277	3.203	3.257	2545008	8304070.00
2024/08/14	3.250	3.280	3.250	3.260	730000	2382953.00
2024/08/15	3.265	3.265	3.212	3.220	1511700	4892587.50
2024/08/16	3.220	3.261	3.200	3.259	2122400	6862993.50
2024/08/19	3.254	3.263	3.210	3.238	1642400	5333886.50
2024/08/20	3.240	3.258	3.190	3.194	3692882	11818340.00
2024/08/21	3.210	3.210	3.187	3.188	1504300	4800055.00
2024/08/22	3.212	3.222	3.189	3.200	451900	1447466.50
2024/08/23	3.200	3.243	3.182	3.210	983782	3149646.25
2024/08/26	3.200	3.232	3.188	3.210	900600	2897328.00
