180603 华夏大悦城商业RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/09/20	3.331	3.338	3.221	3.330	16139677	53692572.00
2024/09/23	3.300	3.321	3.255	3.321	498244	1652070.00
2024/09/24	3.320	3.321	3.279	3.321	669049	2217886.75
2024/09/25	3.320	3.330	3.013	3.329	606006	1984885.75
2024/09/26	3.314	3.341	3.255	3.328	1343659	4468311.00
2024/09/27	3.328	3.340	3.301	3.331	1491326	4968291.00
2024/09/30	3.310	3.341	3.290	3.331	2641789	8746081.00
2024/10/08	3.335	3.343	3.330	3.334	488800	1630353.75
2024/10/09	3.295	3.342	3.295	3.330	327482	1088494.88
2024/10/10	3.330	3.330	3.300	3.315	739978	2449835.50
2024/10/11	3.290	3.325	3.290	3.312	966430	3199660.00
2024/10/14	3.322	3.330	3.310	3.321	305960	1015084.88
2024/10/15	3.323	3.338	3.323	3.328	427742	1423853.75
2024/10/16	3.311	3.338	3.311	3.327	651300	2164437.25
2024/10/17	3.326	3.326	3.300	3.314	769062	2548819.00
2024/10/18	3.315	3.332	3.315	3.325	727485	2418702.25
2024/10/21	3.327	3.335	3.323	3.324	2075542	6907984.50
2024/10/22	3.340	3.340	3.285	3.328	731637	2436069.00
2024/10/23	3.338	3.338	3.317	3.325	544680	1811516.75
2024/10/24	3.325	3.333	3.315	3.320	385400	1279937.13
2024/10/25	3.335	3.335	3.315	3.324	660242	2191154.00
2024/10/28	3.334	3.336	3.320	3.325	1518084	5052752.00
2024/10/29	3.330	3.354	3.325	3.341	3903888	13035304.00
2024/10/30	3.375	3.375	3.321	3.355	920648	3090391.00
2024/10/31	3.355	3.384	3.355	3.379	1110400	3742626.25
2024/11/01	3.429	3.429	3.346	3.383	697465	2357876.25
2024/11/04	3.392	3.500	3.381	3.385	892671	3037004.25
2024/11/05	3.399	3.415	3.388	3.399	798884	2714440.75
2024/11/06	3.415	3.415	3.389	3.401	462271	1571164.25
2024/11/07	3.444	3.445	3.391	3.402	550000	1870097.50
2024/11/08	3.402	3.408	3.381	3.406	234438	797749.19
2024/11/11	3.415	3.415	3.381	3.401	177397	602967.94
2024/11/12	3.410	3.415	3.382	3.407	373000	1269010.88
2024/11/13	3.407	3.415	3.384	3.385	758651	2572276.75
2024/11/14	3.385	3.487	3.346	3.382	232442	785890.31
2024/11/15	3.415	3.415	3.377	3.389	5852239	19891902.00
2024/11/18	3.415	3.415	3.388	3.391	967341	3279087.00
2024/11/19	3.400	3.408	3.385	3.390	1511905	5126710.00
2024/11/20	3.415	3.415	3.387	3.395	1971015	6693790.50
2024/11/21	3.690	3.698	3.360	3.404	764788	2600947.25
2024/11/22	3.420	3.420	3.350	3.396	439514	1494752.25
2024/11/25	3.399	3.402	3.338	3.360	1785000	6007140.50
2024/11/26	3.351	3.369	3.336	3.340	1281300	4281994.50
2024/11/27	3.349	3.399	3.330	3.344	1092855	3650005.50
2024/11/28	3.385	3.385	3.343	3.349	406100	1358888.50
2024/11/29	3.351	3.370	3.351	3.370	354200	1189523.75
2024/12/02	3.480	3.480	3.340	3.389	743919	2509701.25
2024/12/03	3.376	3.390	3.375	3.389	787772	2666217.50
