180605 易方达华威市场RE 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/01/24	3.935	3.935	3.935	3.935	6773818	26654974.00
2025/01/27	4.329	4.329	4.150	4.244	17439204	74327432.00
2025/02/05	4.200	4.253	4.160	4.250	5509695	23256502.00
2025/02/06	4.215	4.305	4.196	4.288	9082958	38481420.00
2025/02/07	4.287	4.315	4.254	4.308	6527823	28045648.00
2025/02/10	4.308	4.358	4.280	4.357	5618141	24337736.00
2025/02/11	4.357	4.459	4.357	4.455	6404811	28346130.00
2025/02/12	4.455	4.460	4.410	4.460	7246063	32116386.00
2025/02/13	4.462	4.465	4.420	4.446	3219895	14327296.00
2025/02/14	4.446	4.450	4.391	4.446	3369350	14903240.00
2025/02/17	4.446	4.478	4.407	4.461	1411335	6284801.50
2025/02/18	4.444	4.500	4.440	4.474	720558	3226529.50
2025/02/19	4.455	4.492	4.430	4.482	1081269	4824821.00
2025/02/20	4.482	4.500	4.458	4.487	464792	2083837.63
2025/02/21	4.487	4.500	4.467	4.500	858506	3851622.75
2025/02/24	4.502	4.502	4.445	4.467	1373920	6139674.00
2025/02/25	4.460	4.500	4.378	4.440	1034702	4590895.50
2025/02/26	4.406	4.454	4.406	4.424	1576337	6996714.00
2025/02/27	4.424	4.424	4.371	4.411	1522428	6690992.00
2025/02/28	4.410	4.411	4.374	4.391	1061325	4667504.50
2025/03/03	4.391	4.418	4.377	4.406	696177	3067928.75
2025/03/04	4.407	4.431	4.407	4.426	1870018	8266793.00
2025/03/05	4.405	4.478	4.405	4.420	1227617	5441487.00
2025/03/06	4.420	4.431	4.401	4.410	666769	2943085.75
2025/03/07	4.411	4.451	4.377	4.399	1188711	5227099.50
2025/03/10	4.365	4.446	4.361	4.417	1590597	6992352.00
2025/03/11	4.420	4.420	4.361	4.388	540154	2370133.00
2025/03/12	4.395	4.448	4.361	4.380	933343	4094241.25
2025/03/13	4.361	4.403	4.360	4.368	797097	3483511.75
2025/03/14	4.368	4.425	4.365	4.425	1122545	4910039.50
2025/03/17	4.425	4.485	4.390	4.439	1706394	7590391.00
2025/03/18	4.441	4.464	4.430	4.448	697737	3102024.25
2025/03/19	4.426	4.490	4.426	4.449	1330608	5923932.50
2025/03/20	4.449	4.468	4.434	4.448	1737037	7722622.50
2025/03/21	4.450	4.488	4.402	4.434	765008	3388802.00
2025/03/24	4.434	4.449	4.400	4.416	1580624	6988007.00
