180606 中金中国绿发商业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/06/27	4.108	4.108	4.108	4.108	1069697	4394315.50
2025/06/30	4.519	4.519	4.200	4.299	35015401	152033104.00
2025/07/01	4.298	4.298	4.229	4.246	13908529	59077564.00
2025/07/02	4.236	4.338	4.230	4.316	7164689	30747690.00
2025/07/03	4.317	4.367	4.278	4.330	6456593	27982250.00
2025/07/04	4.323	4.388	4.320	4.375	2609220	11379782.00
2025/07/07	4.375	4.424	4.375	4.380	1725056	7583464.00
2025/07/08	4.380	4.391	4.357	4.390	7065050	30906752.00
2025/07/09	4.390	4.406	4.371	4.387	2491539	10932329.00
2025/07/10	4.386	4.410	4.372	4.390	2635955	11586896.00
2025/07/11	4.390	4.420	4.372	4.419	6342144	27900318.00
2025/07/14	4.419	4.430	4.375	4.377	2605477	11457049.00
2025/07/15	4.378	4.402	4.351	4.391	5655609	24800886.00
2025/07/16	4.390	4.392	4.378	4.381	1605180	7038928.50
2025/07/17	4.381	4.415	4.370	4.384	4614751	20266298.00
2025/07/18	4.380	4.385	4.370	4.380	830667	3636889.75
2025/07/21	4.381	4.382	4.357	4.360	1041205	4542755.00
2025/07/22	4.350	4.360	4.303	4.304	1345176	5825828.00
2025/07/23	4.304	4.304	4.165	4.199	6177221	25998134.00
2025/07/24	4.199	4.199	4.138	4.161	4004645	16649272.00
2025/07/25	4.158	4.188	4.121	4.169	2514556	10437783.00
2025/07/28	4.171	4.225	4.171	4.208	3826720	16083714.00
2025/07/29	4.220	4.220	4.174	4.184	1263622	5299988.00
2025/07/30	4.171	4.220	4.150	4.204	2544005	10664234.00
2025/07/31	4.203	4.245	4.201	4.238	2005609	8477925.00
2025/08/01	4.221	4.272	4.210	4.250	2636745	11201221.00
2025/08/04	4.238	4.267	4.203	4.225	1289273	5465580.00
2025/08/05	4.212	4.241	4.146	4.230	1397181	5874876.50
2025/08/06	4.213	4.241	4.186	4.240	1693866	7150254.00
2025/08/07	4.239	4.239	4.214	4.231	1012692	4283036.00
2025/08/08	4.214	4.215	4.190	4.209	1032937	4337567.50
2025/08/11	4.193	4.200	4.170	4.182	564304	2360696.00
2025/08/12	4.179	4.205	4.170	4.194	1797889	7549236.00
2025/08/13	4.210	4.210	4.177	4.200	532677	2232237.00
