180607 华夏中海商业REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/10/31	5.500	5.540	5.351	5.455	38967366	211053472.00
2025/11/03	5.401	5.401	5.360	5.386	5867062	31541930.00
2025/11/04	5.366	5.388	5.359	5.384	3542880	19027420.00
2025/11/05	5.364	5.418	5.364	5.418	4684472	25305136.00
2025/11/06	5.408	5.424	5.387	5.412	2428732	13136110.00
2025/11/07	5.401	5.462	5.391	5.438	2840342	15408702.00
2025/11/10	5.434	5.472	5.420	5.466	1541387	8396550.00
2025/11/11	5.471	5.490	5.434	5.484	1131814	6200793.50
2025/11/12	5.462	5.509	5.462	5.500	1109304	6098871.00
2025/11/13	5.505	5.517	5.450	5.512	2465305	13555517.00
2025/11/14	5.510	5.512	5.480	5.511	4276829	23490952.00
2025/11/17	5.511	5.520	5.486	5.518	2037627	11212841.00
2025/11/18	5.492	5.528	5.492	5.521	876317	4835456.00
2025/11/19	5.518	5.542	5.490	5.540	1359372	7503968.50
2025/11/20	5.522	5.546	5.502	5.519	2635899	14536042.00
2025/11/21	5.493	5.521	5.492	5.504	1072620	5908591.00
2025/11/24	5.499	5.504	5.481	5.499	1079205	5926774.00
2025/11/25	5.520	5.520	5.466	5.520	477738	2632928.50
2025/11/26	5.502	5.548	5.502	5.548	1909847	10568522.00
2025/11/27	5.517	5.564	5.517	5.563	377568	2094832.63
2025/11/28	5.563	5.569	5.537	5.566	318070	1766556.00
2025/12/01	5.537	5.587	5.537	5.568	421580	2344896.25
2025/12/02	5.535	5.571	5.535	5.570	243747	1355263.63
2025/12/03	5.548	5.579	5.548	5.570	481923	2682852.25
2025/12/04	5.542	5.569	5.538	5.569	231476	1285546.75
2025/12/05	5.569	5.569	5.545	5.567	424808	2359444.25
2025/12/08	5.546	5.566	5.528	5.550	863391	4781539.00
2025/12/09	5.519	5.550	5.519	5.540	614140	3398585.75
2025/12/10	5.540	5.563	5.523	5.559	348436	1933552.88
2025/12/11	5.559	5.568	5.544	5.561	259745	1444875.75
2025/12/12	5.560	5.580	5.543	5.580	424949	2365384.75
2025/12/15	5.580	5.580	5.551	5.569	348205	1935116.88
2025/12/16	5.555	5.565	5.522	5.535	513495	2840964.50
2025/12/17	5.526	5.540	5.410	5.538	572319	3148890.75
2025/12/18	5.499	5.522	5.480	5.522	779504	4284962.00
2025/12/19	5.492	5.529	5.480	5.512	565759	3110054.00
2025/12/22	5.472	5.515	5.452	5.510	176144	969696.44
2025/12/23	5.471	5.507	5.382	5.469	1242149	6744299.00
2025/12/24	5.429	5.576	5.400	5.566	1673221	9174375.00
2025/12/25	5.528	5.578	5.528	5.569	248378	1382858.50
2025/12/26	5.569	5.569	5.528	5.544	418811	2318597.25
2025/12/29	5.537	5.550	5.403	5.541	173248	960240.75
2025/12/30	5.501	5.559	5.501	5.534	162561	899435.25
2025/12/31	5.569	5.599	5.494	5.594	1140174	6328880.00
2026/01/05	5.554	5.613	5.520	5.594	505493	2819038.25
2026/01/06	5.555	5.754	5.530	5.682	1079749	6113212.50
2026/01/07	5.683	5.789	5.642	5.771	691448	3960826.75
2026/01/08	5.731	5.828	5.731	5.817	705620	4087620.25
2026/01/09	5.818	5.829	5.777	5.827	1128150	6570483.50
2026/01/12	5.827	5.848	5.750	5.818	373145	2175412.25
2026/01/13	5.831	5.848	5.819	5.842	286836	1672767.00
2026/01/14	5.802	5.868	5.802	5.867	292285	1711542.13
2026/01/15	5.832	5.861	5.800	5.829	1033450	6023945.00
2026/01/16	5.794	5.850	5.794	5.847	306458	1789945.13
2026/01/19	5.847	5.862	5.815	5.861	363660	2127062.75
2026/01/20	5.870	5.899	5.870	5.893	503864	2962100.50
2026/01/21	5.900	6.037	5.883	5.991	815175	4868437.50
2026/01/22	5.988	6.128	5.971	6.118	378260	2306510.25
2026/01/23	6.130	6.284	6.045	6.084	762419	4697557.00
2026/01/26	6.070	6.122	6.009	6.119	657428	3978677.25
2026/01/27	6.147	6.148	6.066	6.141	510030	3129620.00
2026/01/28	6.198	6.252	6.180	6.228	687763	4270027.50
2026/01/29	6.237	6.344	6.215	6.340	326739	2061436.75
2026/01/30	6.266	6.388	6.266	6.359	464706	2944802.50
2026/02/02	6.340	6.349	6.156	6.197	1140140	7064763.00
2026/02/03	6.157	6.229	6.157	6.220	277342	1718543.50
2026/02/04	6.183	6.219	6.183	6.209	312026	1937773.13
2026/02/05	6.169	6.209	6.151	6.153	184046	1135171.13
2026/02/06	6.150	6.151	6.059	6.145	653854	3975420.25
2026/02/09	6.137	6.142	6.078	6.123	352132	2145041.25
2026/02/10	6.086	6.250	6.060	6.237	280497	1721595.00
2026/02/11	6.200	6.262	6.191	6.195	382605	2377741.00
2026/02/12	6.227	6.245	6.196	6.208	284400	1767614.88
2026/02/13	6.168	6.259	6.168	6.220	128151	797587.06
2026/02/24	6.237	6.260	6.199	6.225	136948	851645.63
2026/02/25	6.185	6.237	6.166	6.190	151714	939100.06
2026/02/26	6.153	6.188	6.130	6.138	163221	1003110.25
2026/02/27	6.138	6.140	6.122	6.133	142043	871198.75
2026/03/02	6.133	6.133	6.041	6.085	619200	3759546.50
2026/03/03	6.099	6.145	6.066	6.085	226716	1384838.50
2026/03/04	6.085	6.085	5.995	6.004	103103	619256.50
2026/03/05	6.047	6.060	5.940	5.973	331231	1982233.00
2026/03/06	5.973	5.982	5.840	5.925	450555	2660952.25
2026/03/09	5.885	5.930	5.814	5.857	514842	3008124.50
2026/03/10	5.856	5.921	5.856	5.909	380155	2246006.50
2026/03/11	5.943	5.957	5.869	5.954	493941	2919497.75
2026/03/12	5.979	5.979	5.930	5.945	62330	370632.69
2026/03/13	5.855	5.998	5.855	5.945	392885	2336405.75
2026/03/16	5.952	6.000	5.899	5.907	227587	1349923.00
2026/03/17	5.907	5.995	5.907	5.920	154100	915784.31
2026/03/18	5.926	5.969	5.884	5.900	195004	1154788.13
2026/03/19	5.908	5.980	5.893	5.899	240976	1430558.75
2026/03/20	5.890	5.890	5.808	5.850	331274	1933128.38
2026/03/23	5.800	5.841	5.721	5.835	592966	3408009.50
2026/03/24	5.832	5.862	5.710	5.830	729028	4202346.00
2026/04/03	5.751	5.844	5.710	5.797	123796	717464.38
#数据来源:通达信
