180701 银华绍兴原水水利 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/11/08	3.450	3.480	3.295	3.338	21518662	71902016.00
2024/11/11	3.338	3.405	3.301	3.405	3026393	10223972.00
2024/11/12	3.405	3.524	3.369	3.490	2213237	7645206.00
2024/11/13	3.500	3.500	3.445	3.464	8782599	30334086.00
2024/11/14	3.464	3.470	3.420	3.443	7712158	26562200.00
2024/11/15	3.443	3.443	3.405	3.424	3959042	13553758.00
2024/11/18	3.428	3.450	3.409	3.414	5218464	17830652.00
2024/11/19	3.400	3.420	3.399	3.418	4569208	15582487.00
2024/11/20	3.418	3.449	3.390	3.418	4696148	15997602.00
2024/11/21	3.400	3.433	3.390	3.412	3868016	13184057.00
2024/11/22	3.385	3.425	3.385	3.422	2773791	9468417.00
2024/11/25	3.418	3.438	3.383	3.426	2447963	8385439.50
2024/11/26	3.408	3.439	3.408	3.428	3378158	11575505.00
2024/11/27	3.388	3.470	3.388	3.438	2140421	7354347.50
2024/11/28	3.430	3.455	3.430	3.455	2336967	8054023.50
2024/11/29	3.455	3.473	3.416	3.460	1729962	5988563.00
2024/12/02	3.460	3.510	3.454	3.510	4881049	17027212.00
2024/12/03	3.511	3.535	3.488	3.535	2571948	9055813.00
2024/12/04	3.495	3.636	3.495	3.528	2110505	7485067.50
2024/12/05	3.528	3.558	3.502	3.540	1704957	6028408.50
2024/12/06	3.500	3.600	3.500	3.558	2622196	9352851.00
2024/12/09	3.518	3.648	3.518	3.563	1272969	4535439.00
2024/12/10	3.563	3.653	3.563	3.646	1451926	5227630.00
2024/12/11	3.646	3.738	3.646	3.719	2186010	8100140.00
2024/12/12	3.720	3.850	3.720	3.840	4178195	15890167.00
2024/12/13	3.840	3.918	3.808	3.850	10709135	41446212.00
2024/12/16	3.840	3.906	3.810	3.887	2469551	9508285.00
2024/12/17	3.887	3.910	3.880	3.887	1538896	5981846.00
2024/12/18	3.887	4.200	3.660	3.825	1375304	5292017.50
2024/12/19	3.816	3.879	3.703	3.794	2667852	10016625.00
2024/12/20	3.754	3.880	3.754	3.880	1649210	6309989.50
2024/12/23	3.880	4.000	3.841	3.860	1784405	6928183.00
2024/12/24	3.828	3.898	3.814	3.816	1716713	6586255.50
2024/12/25	3.776	3.850	3.776	3.815	4329073	16471768.00
2024/12/26	3.826	3.899	3.813	3.842	1426328	5482456.50
2024/12/27	3.802	3.910	3.802	3.874	2261629	8784718.00
2024/12/30	3.840	3.999	3.840	3.949	1793958	7095233.00
2024/12/31	3.911	4.030	3.910	3.928	1493683	5901616.50
2025/01/02	3.888	3.969	3.888	3.965	1379760	5453336.00
2025/01/03	3.965	4.105	3.965	4.105	2314185	9363851.00
2025/01/06	4.210	4.297	4.084	4.197	2683961	11247357.00
2025/01/07	4.179	4.497	4.084	4.126	2345941	9680728.00
2025/01/08	4.101	4.249	4.101	4.200	1935640	8134335.50
2025/01/09	4.180	4.300	4.160	4.175	5170678	21595224.00
2025/01/10	4.160	4.225	4.129	4.150	4406926	18300718.00
2025/01/13	4.150	4.200	4.041	4.065	1204629	4953201.50
2025/01/14	4.100	4.100	4.001	4.026	1135258	4564288.50
2025/01/15	4.096	4.096	3.980	4.053	570162	2308619.50
2025/01/16	4.020	4.088	4.020	4.040	1504301	6066425.50
