180801 中航首钢绿能REIT 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/21	16.056	16.056	14.600	14.711	11834529	181529360.00
2021/06/22	14.711	14.711	13.412	14.700	4322447	59971080.00
2021/06/23	14.672	14.672	13.939	14.288	1941702	27794168.00
2021/06/24	14.287	14.287	13.990	14.070	1167096	16419460.00
2021/06/25	14.070	14.090	14.062	14.078	789552	11105713.00
2021/06/28	14.079	14.089	14.054	14.054	825372	11611747.00
2021/06/29	14.055	14.059	13.995	13.996	796902	11163376.00
2021/06/30	13.997	14.084	13.997	14.037	249731	3504693.75
2021/07/01	14.037	14.257	14.000	14.186	416729	5886021.50
2021/07/02	14.170	14.170	13.998	14.037	657078	9210141.00
2021/07/05	14.037	14.049	14.013	14.018	486055	6814395.00
2021/07/06	14.020	14.026	14.005	14.008	572832	8026150.00
2021/07/07	14.008	14.020	13.998	14.001	516576	7232440.50
2021/07/08	14.000	14.002	13.993	13.994	425235	5952161.50
2021/07/09	13.994	14.000	13.994	13.998	390103	5460458.50
2021/07/12	13.999	14.000	13.994	13.997	465293	6512831.50
2021/07/13	13.997	13.999	13.994	13.997	366551	5130361.50
2021/07/14	13.996	13.996	13.944	13.948	392079	5474794.00
2021/07/15	13.948	13.990	13.948	13.987	369852	5163772.00
2021/07/16	13.988	14.011	13.988	14.009	650479	9111676.00
2021/07/19	14.009	14.012	14.002	14.011	443202	6207971.50
2021/07/20	14.012	14.040	13.980	14.020	349537	4895877.50
2021/07/21	14.020	14.020	14.000	14.009	246778	3457786.00
2021/07/22	14.009	14.015	13.999	14.014	182878	2562313.25
2021/07/23	14.014	14.150	14.014	14.045	303202	4253608.50
2021/07/26	14.045	14.045	14.029	14.039	299293	4201081.00
2021/07/27	14.040	14.044	14.009	14.042	340371	4777658.00
2021/07/28	14.041	14.042	14.009	14.042	365859	5132185.50
2021/07/29	14.042	14.043	14.001	14.041	227670	3196163.25
2021/07/30	14.040	14.043	14.001	14.041	162888	2286863.75
2021/08/02	14.040	14.049	14.011	14.047	281027	3944812.25
2021/08/03	14.047	14.163	14.018	14.147	273304	3856966.50
2021/08/04	14.146	14.262	14.020	14.250	195563	2785334.75
2021/08/05	14.250	14.327	14.141	14.324	242762	3460385.00
2021/08/06	14.324	14.499	14.324	14.343	427165	6131497.00
2021/08/09	14.344	14.391	14.344	14.391	177904	2558547.00
