180901 南方润泽科技数据 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2025/08/08	5.600	5.850	5.442	5.850	79276682	451739232.00
2025/08/11	5.950	6.150	5.850	6.065	31131776	186657232.00
2025/08/12	6.006	6.145	6.003	6.128	15110445	91866352.00
2025/08/13	6.120	6.139	6.040	6.090	12568854	76774152.00
2025/08/14	6.053	6.103	6.042	6.100	8982346	54759484.00
2025/08/15	6.100	6.115	6.066	6.099	6323225	38509480.00
2025/08/18	6.097	6.097	5.870	5.975	10053824	59888328.00
2025/08/19	5.932	5.944	5.821	5.939	6820035	40271452.00
2025/08/20	5.880	6.018	5.880	5.950	6160216	36871624.00
2025/08/21	5.970	6.002	5.911	5.999	5290077	31623136.00
2025/08/22	6.000	6.025	5.963	6.010	3983780	23881106.00
2025/08/25	6.010	6.031	5.956	6.029	4198132	25237640.00
2025/08/26	6.029	6.140	6.000	6.124	4335752	26314996.00
2025/08/27	6.101	6.127	6.071	6.115	3989984	24372430.00
2025/08/28	6.115	6.115	6.055	6.084	3636043	22076560.00
2025/08/29	6.080	6.085	6.032	6.081	3744695	22690464.00
2025/09/01	6.070	6.079	6.037	6.072	3665003	22212866.00
2025/09/02	6.072	6.089	6.037	6.078	5086794	30835234.00
2025/09/03	6.080	6.106	6.053	6.087	3504908	21266962.00
2025/09/04	6.091	6.100	6.059	6.090	3391027	20626508.00
2025/09/05	6.090	6.090	6.056	6.072	2949972	17913566.00
2025/09/08	6.072	6.072	5.999	6.019	3296384	19815360.00
2025/09/09	6.019	6.044	5.982	6.028	2501338	15057190.00
2025/09/10	6.003	6.029	5.980	6.022	2700266	16197604.00
2025/09/11	6.002	6.041	5.993	6.041	3372488	20239312.00
2025/09/12	6.040	6.043	6.006	6.035	2843496	17124394.00
2025/09/15	6.027	6.099	6.014	6.095	3780220	22933006.00
2025/09/16	6.095	6.107	6.063	6.096	3222902	19592400.00
2025/09/17	6.070	6.112	6.033	6.098	3973801	24164688.00
2025/09/18	6.068	6.135	6.068	6.133	2528533	15464408.00
2025/09/19	6.125	6.149	6.098	6.120	1914705	11735745.00
2025/09/22	6.120	6.120	6.061	6.090	3488707	21232346.00
2025/09/23	6.070	6.120	6.058	6.090	2405937	14639088.00
2025/09/24	6.070	6.090	6.051	6.090	2097279	12737557.00
2025/09/25	6.078	6.085	5.981	6.060	5219524	31481986.00
2025/09/26	6.037	6.070	6.018	6.060	2366395	14331020.00
2025/09/29	6.021	6.101	6.002	6.075	2811448	17042702.00
2025/09/30	6.053	6.090	6.021	6.080	1439875	8710716.00
2025/10/09	6.070	6.081	6.031	6.078	2079058	12587605.00
2025/10/10	6.053	6.080	6.040	6.080	1696449	10304111.00
2025/10/13	6.040	6.099	6.040	6.095	1717211	10446081.00
2025/10/14	6.085	6.110	6.051	6.102	1948633	11826525.00
2025/10/15	6.098	6.102	6.050	6.090	2403889	14618970.00
2025/10/16	6.088	6.093	6.050	6.090	1857764	11269336.00
2025/10/17	6.084	6.100	6.060	6.100	2910976	17707630.00
2025/10/20	6.100	6.128	6.067	6.105	3607512	21944468.00
2025/10/21	6.104	6.104	6.060	6.076	1859097	11284377.00
